Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_adapter	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage
P33410_1001-L003							0.0334937	0.946375	532531644.0	3935996.0	0.414717	98.52847966596408	23.93706286704149														
P33410_1001-L003.md														0.000347													
P33410_1001-L003_1	0.8923873613675113	42.0	151.0	151	18.181818181818183	1997390.0																					
P33410_1001-L003_2	1.2655007250587005	42.0	151.0	151	18.181818181818183	1997390.0																					
P33410_1001.md															0.004169713	0.0	3935280.0	99.98180892460256	96.6093461477095	3.092635256743147	3935996.0	17.0	0	0	0	0	0
P33410_1002-L003							0.0286753	0.947404	533598692.0	3946922.0	0.413373	98.76010703435078	24.482456285215417														
P33410_1002-L003.md														0.000374													
P33410_1002-L003_1	0.7946854385192808	41.0	151.0	151	18.181818181818183	1998237.0																					
P33410_1002-L003_2	1.1463452156697542	42.0	151.0	151	18.181818181818183	1998237.0																					
P33410_1002.md															0.004112069	0.0	3946317.0	99.98467159979346	96.54596670519457	3.015717057494422	3946922.0	16.0	0	0	0	0	0
P33410_1003-L003							0.0306618	0.947738	531880872.0	3951100.0	0.410554	98.81544513093029	25.87436075452974														
P33410_1003-L003.md														0.000405													
P33410_1003-L003_1	0.9058241985083555	41.0	151.0	151	18.181818181818183	1999232.0																					
P33410_1003-L003_2	1.2516755616402122	41.0	151.0	151	18.181818181818183	1999232.0																					
P33410_1003.md															0.004058042	0.0	3950471.0	99.98408038267824	96.54789805370656	3.041684594163651	3951100.0	16.0	0	0	0	0	0
P33410_1004-L003							0.030710699999999997	0.948249	530965756.0	3947860.0	0.412477	98.73100648676713	26.296040466142916														
P33410_1004-L003.md														0.000426													
P33410_1004-L003_1	0.8423996919512575	41.0	151.0	151	18.181818181818183	1999301.0																					
P33410_1004-L003_2	1.179263270314081	42.0	151.0	151	18.181818181818183	1999301.0																					
P33410_1004.md															0.004195878	0.0	3947165.0	99.9823955256772	96.52738445638903	3.215184935636015	3947860.0	16.0	0	0	0	0	0
P33410_1005-L003							0.0292655	0.946183	531603642.0	3950382.0	0.411279	98.81187088563395	25.59382693136015														
P33410_1005-L003.md														0.00044													
